id:ID,label,:LABEL,properties.category,properties.chapters,properties.description,properties.mention_count,properties.name_normalized,properties.red_flag,properties.sections,properties.severity,properties.synonyms,properties.treatment_type,properties.urgency_level,properties.urgency_source
disease_890,Corneal Abrasion,Entity,,"[3, 4]",Disease entity extracted from text analysis,26,corneal abrasion,True,"[""C"", ""T""]",emergent,"[""corneal scratch"", ""scratched cornea""]",,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_891,Chemical Burn,Entity,,"[3, 4, 5, 6]",Disease entity extracted from text analysis,12,chemical burn,True,"[""C"", ""E"", ""T""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_892,Corneal Laceration,Entity,,[3],Disease entity extracted from text analysis,4,corneal laceration,True,"[""T""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_893,Penetrating Trauma,Entity,,"[3, 7, 9, 12]",Disease entity extracted from text analysis,9,penetrating trauma,True,"[""G"", ""O"", ""T"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_894,Conjunctival Laceration,Entity,,[3],Disease entity extracted from text analysis,5,conjunctival laceration,True,"[""T""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_895,Coagulopathy,Entity,,"[3, 7, 13]",Disease entity extracted from text analysis,4,coagulopathy,True,"[""G"", ""O"", ""T""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_896,Acidosis,Entity,,"[3, 9, 10]",Disease entity extracted from text analysis,3,acidosis,True,"[""G"", ""N"", ""T""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_897,Maculopathy,Entity,,"[3, 9, 11, 12]",Disease entity extracted from text analysis,6,maculopathy,True,"[""G"", ""R"", ""T"", ""U""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_898,Blunt Trauma,Entity,,"[3, 11]",Disease entity extracted from text analysis,4,blunt trauma,True,"[""R"", ""T""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_899,Zygoma,Entity,,"[3, 7]",Disease entity extracted from text analysis,2,zygoma,True,"[""O"", ""T""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_900,Ecchymosis,Entity,,"[3, 7]",Disease entity extracted from text analysis,3,ecchymosis,True,"[""O"", ""T""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_901,Fibrosis,Entity,,"[3, 4, 5, 7, 8, 10, 12, 13, 14]",Disease entity extracted from text analysis,15,fibrosis,True,"[""C"", ""G"", ""I"", ""N"", ""O"", ""P"", ""T"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_902,Enophthalmos,Entity,,"[3, 6, 7, 8]",Disease entity extracted from text analysis,8,enophthalmos,True,"[""E"", ""O"", ""P"", ""T""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_903,Hematoma,Entity,,"[3, 7, 10]",Disease entity extracted from text analysis,6,hematoma,True,"[""N"", ""O"", ""T""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_904,Orbital Hemorrhage,Entity,,"[3, 7, 14]",Disease entity extracted from text analysis,7,orbital hemorrhage,True,"[""I"", ""O"", ""T""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_905,Diagnosis,Entity,,"[3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14]",Disease entity extracted from text analysis,102,diagnosis,True,"[""C"", ""G"", ""I"", ""N"", ""O"", ""P"", ""R"", ""T"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_906,Globe Rupture,Entity,,"[3, 14]",Disease entity extracted from text analysis,2,globe rupture,True,"[""I"", ""T""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_907,Chorioretinitis,Entity,,"[3, 4, 8, 10, 12]",Disease entity extracted from text analysis,12,chorioretinitis,True,"[""C"", ""N"", ""P"", ""T"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_908,Retinal Tear,Entity,,"[3, 13, 14]",Disease entity extracted from text analysis,3,retinal tear,True,"[""G"", ""I"", ""T""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_909,Pancreatitis,Entity,,"[3, 13]",Disease entity extracted from text analysis,2,pancreatitis,True,"[""G"", ""T""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_910,Corneal Ulcer,Entity,,"[4, 5, 8]",Disease entity extracted from text analysis,21,corneal ulcer,False,"[""C"", ""P""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_911,Band Keratopathy,Entity,,"[4, 12]",Disease entity extracted from text analysis,5,band keratopathy,False,"[""C"", ""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_912,Stroma,Entity,,"[4, 5, 9, 12, 13]",Disease entity extracted from text analysis,13,stroma,False,"[""C"", ""G"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_913,Granulomatosis,Entity,,"[4, 7, 10, 11, 12]",Disease entity extracted from text analysis,7,granulomatosis,False,"[""C"", ""N"", ""O"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_914,Polyangiitis,Entity,,"[4, 7, 10, 11, 12]",Disease entity extracted from text analysis,6,polyangiitis,False,"[""C"", ""N"", ""O"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_915,Arthritis,Entity,,"[4, 5, 6, 7, 9, 10, 12, 13]",Disease entity extracted from text analysis,21,arthritis,False,"[""C"", ""E"", ""G"", ""N"", ""O"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_916,Corneal Infiltrate,Entity,,"[4, 12]",Disease entity extracted from text analysis,18,corneal infiltrate,False,"[""C"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_917,Corneal Perforation,Entity,,"[4, 5, 8]",Disease entity extracted from text analysis,7,corneal perforation,False,"[""C"", ""P""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_918,Sclerosis,Entity,,"[4, 6, 7, 8, 10, 11, 12, 14]",Disease entity extracted from text analysis,17,sclerosis,False,"[""C"", ""E"", ""I"", ""N"", ""O"", ""P"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_919,Neuroma,Entity,,"[4, 6, 10]",Disease entity extracted from text analysis,3,neuroma,False,"[""C"", ""E"", ""N""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_920,Thermal Burn,Entity,,"[4, 6]",Disease entity extracted from text analysis,2,thermal burn,True,"[""C"", ""E""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_921,Papilloma,Entity,,"[4, 6]",Disease entity extracted from text analysis,2,papilloma,False,"[""C"", ""E""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_922,Otitis,Entity,,"[4, 5, 8, 10]",Disease entity extracted from text analysis,9,otitis,False,"[""C"", ""N"", ""P""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_923,Choroiditis,Entity,,"[4, 11, 12]",Disease entity extracted from text analysis,7,choroiditis,False,"[""C"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_924,Epitheliopathy,Entity,,"[4, 12]",Disease entity extracted from text analysis,2,epitheliopathy,False,"[""C"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_925,Polychondritis,Entity,,[4],Disease entity extracted from text analysis,2,polychondritis,False,"[""C""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_926,Hepatitis,Entity,,"[4, 12, 13]",Disease entity extracted from text analysis,3,hepatitis,False,"[""C"", ""G"", ""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_927,Polyarteritis,Entity,,"[4, 7, 11, 12]",Disease entity extracted from text analysis,5,polyarteritis,False,"[""C"", ""O"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_928,Macular Edema,Entity,,"[4, 9, 11, 12, 13, 14]",Disease entity extracted from text analysis,23,macular edema,False,"[""C"", ""G"", ""I"", ""R"", ""U""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_929,Urethritis,Entity,,"[5, 12]",Disease entity extracted from text analysis,3,urethritis,False,"[""C"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_930,Hypertrophy,Entity,,"[5, 7]",Disease entity extracted from text analysis,2,hypertrophy,False,"[""C"", ""O""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_931,Antituberculosis,Entity,,"[5, 12]",Disease entity extracted from text analysis,2,antituberculosis,False,"[""C"", ""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_932,Lymphadenopathy,Entity,,"[5, 7, 10, 12]",Disease entity extracted from text analysis,9,lymphadenopathy,False,"[""C"", ""N"", ""O"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_933,Sarcoma,Entity,,"[5, 6, 7]",Disease entity extracted from text analysis,4,sarcoma,False,"[""C"", ""E"", ""O""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_934,Neuroblastoma,Entity,,"[5, 7, 8, 10]",Disease entity extracted from text analysis,9,neuroblastoma,False,"[""C"", ""N"", ""O"", ""P""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_935,Spondylitis,Entity,,"[5, 9, 12]",Disease entity extracted from text analysis,7,spondylitis,False,"[""C"", ""G"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_936,Hemangioma,Entity,,"[5, 6, 7, 8, 10, 11, 13, 14]",Disease entity extracted from text analysis,15,hemangioma,False,"[""C"", ""E"", ""G"", ""I"", ""N"", ""O"", ""P"", ""R""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_937,Osteoporosis,Entity,,"[5, 8, 10]",Disease entity extracted from text analysis,3,osteoporosis,False,"[""C"", ""N"", ""P""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_938,Angiitis,Entity,,"[5, 11, 12]",Disease entity extracted from text analysis,4,angiitis,False,"[""C"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_939,Blepharoconjunctivitis,Entity,,"[5, 6, 7]",Disease entity extracted from text analysis,3,blepharoconjunctivitis,False,"[""C"", ""E"", ""O""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_940,Thymoma,Entity,,"[6, 10]",Disease entity extracted from text analysis,4,thymoma,False,"[""E"", ""N""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_941,Madarosis,Entity,,"[6, 12]",Disease entity extracted from text analysis,4,madarosis,False,"[""E"", ""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_942,Poliosis,Entity,,"[6, 12]",Disease entity extracted from text analysis,3,poliosis,False,"[""E"", ""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_943,Osteomyelitis,Entity,,"[6, 10]",Disease entity extracted from text analysis,2,osteomyelitis,False,"[""E"", ""N""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_944,Keratosis,Entity,,[6],Disease entity extracted from text analysis,2,keratosis,False,"[""E""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_945,Neurilemmoma,Entity,,"[6, 7]",Disease entity extracted from text analysis,3,neurilemmoma,False,"[""E"", ""O""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_946,Hyperplasia,Entity,,"[6, 7]",Disease entity extracted from text analysis,4,hyperplasia,False,"[""E"", ""O""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_947,Mucormycosis,Entity,,"[7, 10]",Disease entity extracted from text analysis,5,mucormycosis,False,"[""N"", ""O""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_948,Adenopathy,Entity,,"[7, 12]",Disease entity extracted from text analysis,2,adenopathy,False,"[""O"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_949,Orbitopathy,Entity,,[7],Disease entity extracted from text analysis,5,orbitopathy,False,"[""O""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_950,Ophthalmopathy,Entity,,[7],Disease entity extracted from text analysis,2,ophthalmopathy,False,"[""O""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_951,Histiocytosis,Entity,,[7],Disease entity extracted from text analysis,2,histiocytosis,False,"[""O""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_952,Ethmoiditis,Entity,,[7],Disease entity extracted from text analysis,2,ethmoiditis,False,"[""O""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_953,Zygomycosis,Entity,,"[7, 10, 11]",Disease entity extracted from text analysis,6,zygomycosis,False,"[""N"", ""O"", ""R""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_954,Mononucleosis,Entity,,"[7, 10]",Disease entity extracted from text analysis,4,mononucleosis,False,"[""N"", ""O""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_955,Astrocytoma,Entity,,"[7, 8]",Disease entity extracted from text analysis,3,astrocytoma,False,"[""O"", ""P""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_956,Schwannoma,Entity,,"[7, 10]",Disease entity extracted from text analysis,2,schwannoma,False,"[""N"", ""O""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_957,Periphlebitis,Entity,,"[7, 12]",Disease entity extracted from text analysis,2,periphlebitis,False,"[""O"", ""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_958,Cardiomyopathy,Entity,,"[7, 13]",Disease entity extracted from text analysis,2,cardiomyopathy,False,"[""G"", ""O""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_959,Dysplasia,Entity,,"[8, 10]",Disease entity extracted from text analysis,4,dysplasia,False,"[""N"", ""P""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_960,Cirrhosis,Entity,,"[8, 13]",Disease entity extracted from text analysis,3,cirrhosis,False,"[""G"", ""P""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_961,Stenosis,Entity,,"[8, 9, 10, 11, 14]",Disease entity extracted from text analysis,7,stenosis,False,"[""G"", ""I"", ""N"", ""P"", ""R""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_962,Aphakia,Entity,,"[8, 11, 12]",Disease entity extracted from text analysis,3,aphakia,False,"[""P"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_963,Blepharophimosis,Entity,,[8],Disease entity extracted from text analysis,2,blepharophimosis,False,"[""P""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_964,Craniopharyngioma,Entity,,"[8, 10]",Disease entity extracted from text analysis,2,craniopharyngioma,False,"[""N"", ""P""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_965,Scotoma,Entity,,"[9, 10, 11, 12]",Disease entity extracted from text analysis,10,scotoma,False,"[""G"", ""N"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_966,Miosis,Entity,,"[9, 10]",Disease entity extracted from text analysis,4,miosis,False,"[""G"", ""N""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_967,Panuveitis,Entity,,"[9, 12]",Disease entity extracted from text analysis,8,panuveitis,False,"[""G"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_968,Antiglaucoma,Entity,,"[9, 12]",Disease entity extracted from text analysis,6,antiglaucoma,False,"[""G"", ""U""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_969,Blebitis,Entity,,[9],Disease entity extracted from text analysis,4,blebitis,False,"[""G""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_970,Ketoacidosis,Entity,,[10],Disease entity extracted from text analysis,2,ketoacidosis,False,"[""N""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_971,Thrombophlebitis,Entity,,[10],Disease entity extracted from text analysis,2,thrombophlebitis,False,"[""N""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_972,Encephalopathy,Entity,,"[10, 12]",Disease entity extracted from text analysis,5,encephalopathy,False,"[""N"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_973,Polyneuropathy,Entity,,[10],Disease entity extracted from text analysis,2,polyneuropathy,False,"[""N""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_974,Papillopathy,Entity,,"[10, 11]",Disease entity extracted from text analysis,2,papillopathy,False,"[""N"", ""R""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_975,Thrombocytosis,Entity,,[10],Disease entity extracted from text analysis,2,thrombocytosis,False,"[""N""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_976,Arteriosclerosis,Entity,,"[10, 11]",Disease entity extracted from text analysis,2,arteriosclerosis,False,"[""N"", ""R""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_977,Hemangioblastoma,Entity,,"[11, 13]",Disease entity extracted from text analysis,4,hemangioblastoma,False,"[""G"", ""R""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_978,Leptospirosis,Entity,,"[11, 12]",Disease entity extracted from text analysis,2,leptospirosis,False,"[""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_979,Endocarditis,Entity,,"[11, 12, 13]",Disease entity extracted from text analysis,3,endocarditis,False,"[""G"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_980,Atherosclerosis,Entity,,[11],Disease entity extracted from text analysis,2,atherosclerosis,False,"[""R""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_981,Coma,Entity,,"[11, 12]",Disease entity extracted from text analysis,2,coma,False,"[""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_982,Intermediate Uveitis,Entity,,"[11, 12]",Disease entity extracted from text analysis,10,intermediate uveitis,False,"[""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_983,Macular Hole,Entity,,"[11, 13, 14]",Disease entity extracted from text analysis,3,macular hole,False,"[""G"", ""I"", ""R""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_984,Choroidopathy,Entity,,"[11, 12, 14]",Disease entity extracted from text analysis,4,choroidopathy,False,"[""I"", ""R"", ""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_985,Neuroretinitis,Entity,,[12],Disease entity extracted from text analysis,4,neuroretinitis,False,"[""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_986,Retinochoroiditis,Entity,,[12],Disease entity extracted from text analysis,2,retinochoroiditis,False,"[""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_987,Spondyloarthropathy,Entity,,[12],Disease entity extracted from text analysis,3,spondyloarthropathy,False,"[""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_988,Retinochoroidopathy,Entity,,[12],Disease entity extracted from text analysis,4,retinochoroidopathy,False,"[""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_989,Histoplasmosis,Entity,,[12],Disease entity extracted from text analysis,2,histoplasmosis,False,"[""U""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_990,Colitis,Entity,,"[12, 13]",Disease entity extracted from text analysis,4,colitis,False,"[""G"", ""U""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
symptom_001,Irritation,Entity,ocular,"[1, 3, 4, 5, 6, 7, 8, 9, 12, 13]",,,irritation,,,,,,,
symptom_002,Discharge,Entity,ocular,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 12]",,,discharge,,,,,,,
symptom_003,Ache,Entity,ocular,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,,ache,,,,,,,
symptom_004,Pain,Entity,ocular,"[1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",,,pain,,,,,,,
symptom_005,Headache,Entity,ocular,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,,headache,,,,,,,
symptom_006,Spots,Entity,ocular,"[2, 3, 4, 8, 10, 11, 12, 13]",,,spots,,,,,,,
symptom_007,Night Blindness,Entity,ocular,"[2, 8, 11, 13]",,,night blindness,,,,,,,
symptom_008,Blind Spot,Entity,ocular,"[2, 9, 11, 12]",,,blind spot,,,,,,,
symptom_009,Photophobia,Entity,ocular,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",,,photophobia,,,,,,,
symptom_010,Itching,Entity,ocular,"[3, 4, 5, 6, 10, 12]",,,itching,,,,,,,
symptom_011,Blurred Vision,Entity,ocular,"[3, 4, 7, 9, 10, 11, 12, 13]",,,blurred vision,,,,,,,
symptom_012,Tearing,Entity,ocular,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13]",,,tearing,,,,,,,
symptom_013,Foreign Body Sensation,Entity,ocular,"[3, 4, 5]",,,foreign body sensation,,,,,,,
symptom_014,Discomfort,Entity,ocular,"[3, 4, 5, 9, 13]",,,discomfort,,,,,,,
symptom_015,Purulent Discharge,Entity,ocular,"[3, 4, 5, 6, 7, 8]",,,purulent discharge,,,,,,,
symptom_016,Floaters,Entity,ocular,"[3, 11, 12]",,,floaters,,,,,,,
symptom_017,Decreased Vision,Entity,ocular,"[3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14]",,,decreased vision,,,,,,,
symptom_018,Glare,Entity,ocular,"[3, 4, 12, 13]",,,glare,,,,,,,
symptom_019,Diplopia,Entity,ocular,"[3, 6, 7, 8, 9, 10, 13]",,,diplopia,,,,,,,
symptom_020,Distortion,Entity,ocular,"[3, 5, 6, 9, 11, 14]",,,distortion,,,,,,,
symptom_021,Vision Loss,Entity,ocular,"[3, 8, 9, 10, 11, 12, 13]",,,vision loss,,,,,,,
symptom_022,Eye Pain,Entity,ocular,"[3, 4, 5, 9, 10, 12, 13]",,,eye pain,,,,,,,
symptom_023,Ocular Pain,Entity,ocular,"[3, 4, 12, 13]",,,ocular pain,,,,,,,
symptom_024,Crusting,Entity,ocular,"[4, 5]",,,crusting,,,,,,,
symptom_025,Dryness,Entity,ocular,"[4, 5]",,,dryness,,,,,,,
symptom_026,Burning,Entity,ocular,"[4, 5, 10, 13]",,,burning,,,,,,,
symptom_027,Dry Eyes,Entity,ocular,"[4, 5, 13]",,,dry eyes,,,,,,,
symptom_028,Blurry Vision,Entity,ocular,"[4, 9, 10, 11]",,,blurry vision,,,,,,,
symptom_029,Halos,Entity,ocular,"[4, 5, 7, 8, 9, 12, 13]",,,halos,,,,,,,
symptom_030,Reduced Vision,Entity,ocular,"[4, 8, 13]",,,reduced vision,,,,,,,
symptom_031,Double Vision,Entity,ocular,"[6, 7, 10, 13]",,,double vision,,,,,,,
symptom_032,Veil,Entity,ocular,"[6, 7, 13, 14]",,,veil,,,,,,,
symptom_033,Scotoma,Entity,ocular,"[9, 10, 11, 12, 13]",,,scotoma,,,,,,,
symptom_034,Loss Of Vision,Entity,ocular,"[10, 11]",,,loss of vision,,,,,,,
symptom_035,Photopsia,Entity,ocular,"[11, 12, 13]",,,photopsia,,,,,,,
symptom_036,Curtain,Entity,ocular,[11],,,curtain,,,,,,,
symptom_037,Flashing Lights,Entity,ocular,[11],,,flashing lights,,,,,,,
symptom_038,Metamorphopsia,Entity,ocular,"[11, 12]",,,metamorphopsia,,,,,,,
sign_001,Etiology Of Spontaneous Hyphema Or Microhyphema,Entity,ocular,,,,etiology of spontaneous hyphema or microhyphema,,,,,,,
sign_069,Edema,Entity,ocular,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",,,edema,,,,,,,
sign_002,Differential Diagnosis Of A Traumatic Afferent Pupillary Defect,Entity,ocular,,,,differential diagnosis of a traumatic afferent pupillary defect,,,,,,,
sign_070,Blepharospasm,Entity,ocular,"[1, 5, 6, 8]",,,blepharospasm,,,,,,,
sign_003,Differential Diagnosis Of Corneal Dendrites,Entity,ocular,,,,differential diagnosis of corneal dendrites,,,,,,,
sign_071,Ptosis,Entity,ocular,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13]",,,ptosis,,,,,,,
sign_004,Differential Diagnosis Of Proptosis,Entity,ocular,,,,differential diagnosis of proptosis,,,,,,,
sign_072,Proptosis,Entity,ocular,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13]",,,proptosis,,,,,,,
sign_005,Differential Diagnosis Of Disc Edema Or Elevation,Entity,ocular,,,,differential diagnosis of disc edema or elevation,,,,,,,
sign_073,Ectropion,Entity,ocular,"[1, 4, 5, 6, 10]",,,ectropion,,,,,,,
sign_006,Differential Diagnosis For All Three Types Of Retinal Detachment,Entity,ocular,,,,differential diagnosis for all three types of retinal detachment,,,,,,,
sign_074,Injection,Entity,ocular,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",,,injection,,,,,,,
sign_007,Chemosis,Entity,ocular,"[1, 3, 4, 5, 7, 8, 9, 10, 12]",,,chemosis,,,,,,,
sign_008,Nystagmus,Entity,ocular,"[1, 2, 4, 7, 8, 10, 13]",,,nystagmus,,,,,,,
sign_009,Corneal Edema,Entity,ocular,"[1, 4, 5, 8, 9, 11, 12]",,,corneal edema,,,,,,,
sign_010,Opacity,Entity,ocular,"[1, 3, 4, 5, 8, 13, 14]",,,opacity,,,,,,,
sign_011,Corneal Opacity,Entity,ocular,"[1, 5, 8, 14]",,,corneal opacity,,,,,,,
sign_012,Vitreous Opacities,Entity,ocular,"[1, 12]",,,vitreous opacities,,,,,,,
sign_013,Entropion,Entity,ocular,"[1, 4, 5, 6, 8, 13]",,,entropion,,,,,,,
sign_014,Lagophthalmos,Entity,ocular,"[1, 2, 4, 6, 8]",,,lagophthalmos,,,,,,,
sign_015,Hemorrhage,Entity,ocular,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",,,hemorrhage,,,,,,,
sign_016,Subconjunctival Hemorrhage,Entity,ocular,"[1, 2, 3, 5]",,,subconjunctival hemorrhage,,,,,,,
sign_017,Blood,Entity,ocular,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",,,blood,,,,,,,
sign_018,Iris Neovascularization,Entity,ocular,"[2, 8, 11]",,,iris neovascularization,,,,,,,
sign_019,Neovascularization,Entity,ocular,"[2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14]",,,neovascularization,,,,,,,
sign_020,Hypopyon,Entity,ocular,"[2, 4, 5, 9, 12, 13]",,,hypopyon,,,,,,,
